position	wl	slice	min.elapsed	expTcorr_bs_intden	exptime.sec	bs.intden	mean_bg_intden	mean_intden	rb_radius	threshold	area_threshold	cellarea_percent	total_area
A01a	1.00	1.00	0.00	133603.79	1.00	133603.79	537.23	537.33	50.00	MaxEntropy	50.00	0.27	1447680.00
A01a	1.00	2.00	153.00	299978.40	1.00	299978.40	535.80	536.01	50.00	MaxEntropy	50.00	0.45	1447680.00
A01a	1.00	3.00	307.00	737547.27	1.00	737547.27	535.53	536.04	50.00	MaxEntropy	50.00	0.82	1447680.00
A01a	1.00	4.00	461.00	1806405.24	1.00	1806405.24	534.48	535.72	50.00	MaxEntropy	50.00	1.51	1447680.00
A01a	1.00	5.00	614.00	4906435.18	1.00	4906435.18	533.81	537.20	50.00	MaxEntropy	50.00	2.87	1447680.00
A01a	1.00	6.00	767.00	12997667.84	1.00	12997667.84	533.58	542.56	50.00	MaxEntropy	50.00	5.58	1447680.00
A01a	1.00	7.00	921.00	32174197.98	1.00	32174197.98	534.89	557.12	50.00	MaxEntropy	50.00	10.33	1447680.00
A01a	1.00	8.00	1073.00	69021222.86	1.00	69021222.86	535.51	583.19	50.00	MaxEntropy	50.00	16.82	1447680.00
A01a	1.00	9.00	1226.00	136620663.42	1.00	136620663.42	538.27	632.64	50.00	MaxEntropy	50.00	27.68	1447680.00
A01a	1.00	10.00	1379.00	289759025.22	1.00	289759025.22	535.46	735.61	50.00	MaxEntropy	50.00	60.67	1447680.00
A01a	1.00	11.00	1531.00	612927940.22	1.00	612927940.22	535.46	958.84	50.00	MaxEntropy	50.00	100.00	1447680.00
A01a	1.00	12.00	1683.00	905437983.22	1.00	905437983.22	535.46	1160.90	50.00	MaxEntropy	50.00	100.00	1447680.00
A01a	1.00	13.00	1835.00	1157398562.22	1.00	1157398562.22	535.46	1334.94	50.00	MaxEntropy	50.00	100.00	1447680.00
A01a	1.00	14.00	1987.00	1384704311.22	1.00	1384704311.22	535.46	1491.96	50.00	MaxEntropy	50.00	100.00	1447680.00
A01a	1.00	15.00	2138.00	1570910102.22	1.00	1570910102.22	535.46	1620.58	50.00	MaxEntropy	50.00	100.00	1447680.00
A01a	1.00	16.00	2290.00	1710710537.22	1.00	1710710537.22	535.46	1717.15	50.00	MaxEntropy	50.00	100.00	1447680.00
A01b	1.00	1.00	0.00	119303.07	1.00	119303.07	544.44	544.52	50.00	MaxEntropy	50.00	0.22	1447680.00
A01b	1.00	2.00	154.00	224357.55	1.00	224357.55	542.71	542.86	50.00	MaxEntropy	50.00	0.33	1447680.00
A01b	1.00	3.00	307.00	489412.99	1.00	489412.99	541.66	542.00	50.00	MaxEntropy	50.00	0.56	1447680.00
A01b	1.00	4.00	461.00	1140198.59	1.00	1140198.59	540.54	541.33	50.00	MaxEntropy	50.00	1.02	1447680.00
A01b	1.00	5.00	614.00	3051556.36	1.00	3051556.36	540.02	542.13	50.00	MaxEntropy	50.00	1.95	1447680.00
A01b	1.00	6.00	768.00	7969401.12	1.00	7969401.12	539.20	544.71	50.00	MaxEntropy	50.00	3.53	1447680.00
A01b	1.00	7.00	921.00	19827617.66	1.00	19827617.66	540.97	554.67	50.00	MaxEntropy	50.00	6.43	1447680.00
A01b	1.00	8.00	1074.00	43378379.76	1.00	43378379.76	541.24	571.21	50.00	MaxEntropy	50.00	11.28	1447680.00
A01b	1.00	9.00	1226.00	86579086.73	1.00	86579086.73	543.18	602.98	50.00	MaxEntropy	50.00	19.05	1447680.00
A01b	1.00	10.00	1379.00	175655691.40	1.00	175655691.40	548.49	669.83	50.00	MaxEntropy	50.00	34.75	1447680.00
A01b	1.00	11.00	1531.00	406345394.22	1.00	406345394.22	542.24	822.93	50.00	MaxEntropy	50.00	78.56	1447680.00
A01b	1.00	12.00	1683.00	617252742.22	1.00	617252742.22	542.24	968.62	50.00	MaxEntropy	50.00	99.98	1447680.00
A01b	1.00	13.00	1836.00	793648981.22	1.00	793648981.22	542.24	1090.47	50.00	MaxEntropy	50.00	100.00	1447680.00
A01b	1.00	14.00	1987.00	958693350.22	1.00	958693350.22	542.24	1204.47	50.00	MaxEntropy	50.00	100.00	1447680.00
A01b	1.00	15.00	2139.00	1094230240.22	1.00	1094230240.22	542.24	1298.10	50.00	MaxEntropy	50.00	100.00	1447680.00
A01b	1.00	16.00	2291.00	1195315272.22	1.00	1195315272.22	542.24	1367.92	50.00	MaxEntropy	50.00	100.00	1447680.00
A01c	1.00	1.00	0.00	751193.03	1.00	751193.03	553.65	554.17	50.00	MaxEntropy	50.00	0.72	1447680.00
A01c	1.00	2.00	153.00	872786.08	1.00	872786.08	553.66	554.26	50.00	MaxEntropy	50.00	0.87	1447680.00
A01c	1.00	3.00	307.00	1208345.28	1.00	1208345.28	555.11	555.94	50.00	MaxEntropy	50.00	1.17	1447680.00
A01c	1.00	4.00	460.00	2076620.20	1.00	2076620.20	555.53	556.97	50.00	MaxEntropy	50.00	1.74	1447680.00
A01c	1.00	5.00	614.00	4557009.63	1.00	4557009.63	555.93	559.08	50.00	MaxEntropy	50.00	2.94	1447680.00
A01c	1.00	6.00	767.00	11167234.93	1.00	11167234.93	556.61	564.33	50.00	MaxEntropy	50.00	5.10	1447680.00
A01c	1.00	7.00	920.00	26562867.36	1.00	26562867.36	559.03	577.37	50.00	MaxEntropy	50.00	8.56	1447680.00
A01c	1.00	8.00	1073.00	56470115.15	1.00	56470115.15	561.78	600.79	50.00	MaxEntropy	50.00	14.35	1447680.00
A01c	1.00	9.00	1226.00	111005163.82	1.00	111005163.82	565.84	642.52	50.00	MaxEntropy	50.00	22.47	1447680.00
A01c	1.00	10.00	1379.00	218865444.14	1.00	218865444.14	572.63	723.82	50.00	MaxEntropy	50.00	35.58	1447680.00
A01c	1.00	11.00	1531.00	498139429.26	1.00	498139429.26	558.98	903.07	50.00	MaxEntropy	50.00	83.96	1447680.00
A01c	1.00	12.00	1683.00	743441096.26	1.00	743441096.26	558.98	1072.52	50.00	MaxEntropy	50.00	100.00	1447680.00
A01c	1.00	13.00	1835.00	949167359.26	1.00	949167359.26	558.98	1214.62	50.00	MaxEntropy	50.00	100.00	1447680.00
A01c	1.00	14.00	1987.00	1124920485.26	1.00	1124920485.26	558.98	1336.03	50.00	MaxEntropy	50.00	100.00	1447680.00
A01c	1.00	15.00	2138.00	1268522201.26	1.00	1268522201.26	558.98	1435.22	50.00	MaxEntropy	50.00	100.00	1447680.00
A01c	1.00	16.00	2290.00	1376094216.26	1.00	1376094216.26	558.98	1509.53	50.00	MaxEntropy	50.00	100.00	1447680.00
A01d	1.00	1.00	0.00	221542.27	1.00	221542.27	559.05	559.20	50.00	MaxEntropy	50.00	0.40	1447680.00
A01d	1.00	2.00	153.00	459195.94	1.00	459195.94	558.07	558.38	50.00	MaxEntropy	50.00	0.63	1447680.00
A01d	1.00	3.00	307.00	1010595.39	1.00	1010595.39	558.91	559.61	50.00	MaxEntropy	50.00	1.11	1447680.00
A01d	1.00	4.00	461.00	2390018.33	1.00	2390018.33	560.10	561.75	50.00	MaxEntropy	50.00	1.96	1447680.00
A01d	1.00	5.00	614.00	6820616.13	1.00	6820616.13	560.06	564.77	50.00	MaxEntropy	50.00	4.12	1447680.00
A01d	1.00	6.00	767.00	18846546.84	1.00	18846546.84	561.00	574.02	50.00	MaxEntropy	50.00	8.16	1447680.00
A01d	1.00	7.00	921.00	47220752.45	1.00	47220752.45	564.01	596.63	50.00	MaxEntropy	50.00	14.61	1447680.00
A01d	1.00	8.00	1074.00	103421499.92	1.00	103421499.92	567.35	638.79	50.00	MaxEntropy	50.00	24.62	1447680.00
A01d	1.00	9.00	1226.00	202768467.70	1.00	202768467.70	571.36	711.42	50.00	MaxEntropy	50.00	39.84	1447680.00
A01d	1.00	10.00	1379.00	440504084.77	1.00	440504084.77	562.21	866.49	50.00	MaxEntropy	50.00	75.76	1447680.00
A01d	1.00	11.00	1531.00	904686687.77	1.00	904686687.77	562.21	1187.13	50.00	MaxEntropy	50.00	100.00	1447680.00
A01d	1.00	12.00	1683.00	1309540334.77	1.00	1309540334.77	562.21	1466.79	50.00	MaxEntropy	50.00	100.00	1447680.00
A01d	1.00	13.00	1835.00	1649289553.77	1.00	1649289553.77	562.21	1701.48	50.00	MaxEntropy	50.00	100.00	1447680.00
A01d	1.00	14.00	1987.00	1948743066.77	1.00	1948743066.77	562.21	1908.33	50.00	MaxEntropy	50.00	100.00	1447680.00
A01d	1.00	15.00	2139.00	2192574799.77	1.00	2192574799.77	562.21	2076.76	50.00	MaxEntropy	50.00	100.00	1447680.00
A01d	1.00	16.00	2291.00	2384263460.77	1.00	2384263460.77	562.21	2209.17	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	1.00	0.00	544137.69	1.00	544137.69	525.78	526.16	50.00	MaxEntropy	50.00	0.33	1447680.00
A02a	1.00	2.00	153.00	1102852.08	1.00	1102852.08	522.66	523.42	50.00	MaxEntropy	50.00	0.50	1447680.00
A02a	1.00	3.00	307.00	2657436.80	1.00	2657436.80	520.07	521.91	50.00	MaxEntropy	50.00	0.94	1447680.00
A02a	1.00	4.00	461.00	7241615.17	1.00	7241615.17	517.81	522.81	50.00	MaxEntropy	50.00	1.73	1447680.00
A02a	1.00	5.00	614.00	20665491.39	1.00	20665491.39	517.21	531.49	50.00	MaxEntropy	50.00	3.51	1447680.00
A02a	1.00	6.00	767.00	56133215.53	1.00	56133215.53	519.62	558.39	50.00	MaxEntropy	50.00	6.84	1447680.00
A02a	1.00	7.00	921.00	140774618.71	1.00	140774618.71	524.03	621.27	50.00	MaxEntropy	50.00	13.03	1447680.00
A02a	1.00	8.00	1073.00	310870311.26	1.00	310870311.26	529.09	743.82	50.00	MaxEntropy	50.00	22.70	1447680.00
A02a	1.00	9.00	1226.00	688975937.20	1.00	688975937.20	522.03	997.95	50.00	MaxEntropy	50.00	54.17	1447680.00
A02a	1.00	10.00	1379.00	1563331879.63	0.97	1521490865.20	522.03	1573.02	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	11.00	1531.00	2832574247.93	0.87	2458102267.20	522.03	2219.99	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	12.00	1683.00	3774266429.85	0.69	2617936875.20	522.03	2330.40	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	13.00	1835.00	4638595362.33	0.58	2674530591.20	522.03	2369.49	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	14.00	1987.00	5418163149.12	0.55	3003574996.20	522.03	2596.78	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	15.00	2139.00	6005721079.84	0.52	3117017286.20	522.03	2675.14	50.00	MaxEntropy	50.00	100.00	1447680.00
A02a	1.00	16.00	2290.00	6440625803.85	0.52	3342736317.20	522.03	2831.06	50.00	MaxEntropy	50.00	100.00	1447680.00
A02b	1.00	1.00	0.00	378572.84	1.00	378572.84	529.53	529.79	50.00	MaxEntropy	50.00	0.26	1447680.00
A02b	1.00	2.00	154.00	989712.51	1.00	989712.51	526.48	527.16	50.00	MaxEntropy	50.00	0.43	1447680.00
A02b	1.00	3.00	307.00	2274330.66	1.00	2274330.66	523.45	525.02	50.00	MaxEntropy	50.00	0.75	1447680.00
