position	wl	slice	min.elapsed	expTcorr_bs_intden	exptime.sec	bs.intden	mean_bg_intden	mean_intden	rb_radius	threshold	area_threshold	cellarea_percent	total_area
A07b	1.00	5.00	593.00	53333333.39	0.50	26666666.70	465.14	483.56	50.00	MaxEntropy	50.00	2.70	1447680.00
A07b	1.00	6.00	742.00	129889521.00	0.50	64944760.50	468.92	513.78	50.00	MaxEntropy	50.00	5.21	1447680.00
A07b	1.00	7.00	890.00	300330217.05	0.50	150165108.52	472.76	576.49	50.00	MaxEntropy	50.00	9.95	1447680.00
A07b	1.00	8.00	1039.00	666256636.26	0.50	333128318.13	481.17	711.28	50.00	MaxEntropy	50.00	18.46	1447680.00
A07b	1.00	9.00	1188.00	1412144688.58	0.50	706072344.29	495.31	983.03	50.00	MaxEntropy	50.00	31.92	1447680.00
A07b	1.00	10.00	1337.00	2924295626.34	0.43	1265272534.42	491.99	1365.99	50.00	MaxEntropy	50.00	49.02	1447680.00
A07b	1.00	11.00	1485.00	6177712582.51	0.38	2337510531.55	473.53	2088.19	50.00	MaxEntropy	50.00	75.56	1447680.00
A07b	1.00	12.00	1633.00	9418158886.59	0.29	2757373213.55	473.53	2378.22	50.00	MaxEntropy	50.00	97.28	1447680.00
A07b	1.00	13.00	1783.00	12223490458.63	0.27	3332734673.55	473.53	2775.66	50.00	MaxEntropy	50.00	100.00	1447680.00
A07b	1.00	14.00	1931.00	14709151102.97	0.25	3679994259.55	473.53	3015.53	50.00	MaxEntropy	50.00	99.99	1447680.00
A07b	1.00	15.00	2080.00	17023543058.09	0.23	3943163278.55	473.53	3197.32	50.00	MaxEntropy	50.00	99.84	1447680.00
A07b	1.00	16.00	2228.00	18940702047.44	0.22	4105984330.55	473.53	3309.79	50.00	MaxEntropy	50.00	99.24	1447680.00
A07c	1.00	1.00	0.00	1907188.26	0.50	953594.13	468.22	468.88	50.00	MaxEntropy	50.00	0.43	1447680.00
A07c	1.00	2.00	149.00	3541628.01	0.50	1770814.00	467.97	469.19	50.00	MaxEntropy	50.00	0.61	1447680.00
A07c	1.00	3.00	297.00	7936869.22	0.50	3968434.61	467.19	469.94	50.00	MaxEntropy	50.00	0.90	1447680.00
